Kreyol|French|English|Spanish
Li te viv nan pwovens Liyayoning nan ann Chin. #### Li te konn manje ti bèt ki vètebre.|Il vivait dans la province de Liaoning, en Chine, où il se nourrissait de petits vertébrés.|It lived in the Liaoning province of China where it fed off of small vertebrates.|empty
Li te konn chase bèt vivan, epi li te konn manje kadav bèt tou.|Il chassait des animaux vivants, mais aussi se nourrissait des animaux morts.|It hunted live animals, but also scavenged dead ones.|empty
Repenomamis te gen longè 1 m.|Le repenomamus mesurait 1 mètre de long.|The Repenomamus was 3 feet long.|empty
Li te menm gwosè ak dyab Tazmani an. #### Se menm bèt sa a,dyab Tazmani an, yo di repenomamis vin tounen ann apre.|Il était à peu près de la même taille qu'un diable de Tasmanie, vers lequel il aurait évolué, d’après ce que l’on dit.|It was about the same size of a Tasmanian devil, which it was said to have evolved into.|empty
Sa gen ant 125 ak 130 milyon ane depi l te viv, nan epòk kretase a.|Il a vécu il y a 130 à 125 millions d'années au cours de la période crétacée.|It lived 130-125 million years ago in the Cretaceous period.|empty
Li te gwo, epi tout kò l te kouvri ak plim. #### Li te gen dan file ak pye ki te gen anpil fòs e ki te bon pou ranmase pwovizyon.|Il était grand et couvert de fourrure, avec des dents pointues et des membres costauds, parfaits pour aller à la recherche de nourriture.|It was big and covered with fur, with sharp teeth and strong limbs perfect for foraging.|empty
Li te peze ant 12 ak 14 kg.|Il pesait de 12 à 14 kilogrammes.|It was 26-31 pounds.|empty
Gen 2 kalite Repenomamis : R. kosto ak R. jeyan .|Il existe 2 différents types de repenomamus : R. robustus et R. giganticus.|There are 2 different kinds of Repenomamus. R. robustus and R. giganticus.|empty
Mikworaptò|Le Microraptor|Microraptor|empty
Sa gen 120-125 milyon ane|Il y a 120 à 125 millions d’années|120-125 Million Years Ago|empty
Yo te viv nan premye pati epòk kretase a|A vécu au début de la période crétacée|Early Cretaceous Period|empty
Otè ak ilistratè : Caroline|par Caroline|by Caroline|empty
M panse aspè ki pi dwòl nan yon mikworaptò se zèl li te genyen sou janm li yo.|Je pense que la caractéristique la plus étrange du microraptor était les ailes qu’il avait sur ses jambes.|I think the weirdest feature of the Microraptor was the wings on its legs.|empty
Sa te fè syantis panse zwazo te konn gen kat (4) zèl.|C’est pourquoi les scientifiques pensaient que jadis les oiseaux avaient quatre ailes.|That made scientists think birds used to have four wings.|empty
Chak janm te gen yon zèl ak twa grif long.|Chaque jambe avait une aile et trois longues griffes.|Each leg had a wing and three long talons.|empty
Fosiy li montre koulè li. #### Kò li te kouvri ak plim ble-nwa, eksepte ke li ki te gen kèk plim ak yon koulè oranj vif.|Les fossiles montrent effectivement le pigment car son corps était recouvert de plumes bleu-noir, à l'exception de sa queue qui avait quelques plumes orange vif.|The fossils actually show the pigment, its body was covered in blue-black feathers except for its tail which had a few bright orange feathers.|empty
Zèl li te genyen nan pati kote n abitye wè zèl te gen grif tou.|Les ailes qu’il avait à l'emplacement normal disposaient aussi de serres.|The wings it had in the normal place also had talons.|empty
Li te gen je laj, epi m panse figi li sanble ak figi kanna.|Il avait de grands yeux et je pense que son visage ressemblait un peu à un canard.|It had large eyes and I think its face looked a little like a duck.|empty
Bouch li te plen ti dan.|Sa bouche était remplie de petites dents.|Its mouth was filled with small teeth.|empty
Mikworaptò a te gen 45 cm nan longè, anviwon menm dimansyon ak yon grigri.|Le microraptor mesurait 45 centimètres, environ la taille d'un faucon.|The Microraptor was 1 foot 6 inches, about the size of a hawk.|empty
Se pi piti dinozò yo janm jwenn.|C'est l'un des plus petits dinosaures qu’on n’ait jamais trouvés.|It’s one of the smallest dinosaurs ever found.|empty
Dinozò sa a te viv nan premye pati epòk kretase a nan Liyawoning an Chin epi fosil yo montre li te kapab viv nan pye bwa.|Il a vécu au début du crétacé dans le Liaoning, en Chine, et ses fossiles montrent qu'il a probablement vécu dans les arbres.|It lived in the early Cretaceous period in Liaoning, China, and fossils show it probably lived in trees.|empty
Li te kapab plannen pou yon bon bout tan pou li te kapab pran ti bèt ki vètebre san yo pa tande l.|Il pouvait planer pendant de longues périodes pour capturer ses proies — des petits vertébrés et des insectes — sans se montrer.|It could glide for long periods of time to get prey- small vertebrates, and insects-without giving itself away.|empty
Se tewopòd, reptil ki te viv nan epòk kretase yo, ki te konn manje l.|Il a été mangé par les théropodes, des reptiles qui ont vécu pendant la période du crétacé.|It was eaten by theropods, reptiles that lived during the Cretaceous period.|empty
Bepyaozoris|Le Beipiaosaurus|Beipiaosaurus|empty
Sa gen 80 milyon ane|Il y a 80 millions d’années|80 Million Years Ago|empty
Otè ak ilistratè : Waylonn|par Waylon|by Waylon|empty
Bepyaozoris abityèlman te mezire 1,8 m nan longè epi 1 m nan wotè.|Le beipiaosaurus mesurait généralement 1,80 mètres de long et 1 mètre de haut.|Beipiaosaurus were usually 6 feet long and 3 feet high.|empty
Pwa nòmal yon bepyaozoris ki granmoun te 40 kg.|Le poids moyen d'un beipiaosaurus adulte était de 40 kilogrammes.|The average weight of an adult Beipiaosaurus was 90 lbs.|empty
Li te gwosè yon kasowa.|A peu près la taille d'un casoar.|About the size of a cassowary.|empty
Li te viv nan Liyayoning an Chin, e se èbivò li te ye.|Ils vivaient dans le Liaoning, en Chine, et étaient herbivores.|They lived in Liaoning, China, and were herbivores.|empty
Kò li te kouvri ak plim, epi li te sanble ak yon pan.|Ils étaient couverts de plumes et ressemblaient à un paon.|They were covered in feathers and looked sort of like a peacock.|empty
Bepyaozoris te viv nan premye pati epòk kretase a.|Les beipiaosaurus vivaient au début du crétacé.|Beipiaosaurus lived during the early Cretaceous period.|empty
Bepyaozoris te timid. #### Li te yon kalite dinozò ki te pran anpil prekosyon. #### Se te yon ras dinozò enkwayab.|Le beipiaosaurus était un dinosaure timide et prudent, mais c'était un dinosaure incroyable.|Beipiaosaurus was a shy, cautious dinosaur, but it was an incredible dinosaur.|empty
Pa gen anpil moun ki konnen l. #### Men, lè ou wè foto li, ou va wè se yon bèt estwòdinè.|Bien qu'il ne soit pas très connu, quand vous voyez des images de lui, vous êtes frappé de découvrir à quel point c’est une bête étonnante.|Though it was not very well known, once you see pictures of it, it really strikes you as the truly amazing beast that it is.|empty
Gran Ewoplosefalis La|Le Grand Euoplocephalus|The Great Euoplocephalus|empty
Sa gen 76-74 milyon|Il y a 76 à 74 millions d’années|76-74 Million Years Ago|empty
Otè ak ilistratè : Bobby|par Bobby|by Bobby|empty
Ewoplosefalis se te yon dinozò ki te laj e ki te san parèy.|L'euoplocephalus était un grand et unique dinosaure.|The Euoplocephalus was a large, unique dinosaur.|empty
Li te gen yon bon pwotèj sou tèt li, yon pwotèj fleksib sou do li ak yon ke tankou yon baton gayak.|Il avait une tête bien blindée, des armures dorsales blindées et une queue en forme de bâton.|It had a well-armored head, flexible armored back bands, and a club shaped tail.|empty
Li te mezire 7 m nan longè, e sa se menm mezi ak yon kamyonèt.|Il mesurait 7 mètres de long, environ la taille d'un petit camion.|It was 23 feet long, about the size of a small truck.|empty
Li te viv o Kanada nan dènye pati epòk kretase a.|Il a vécu au Canada pendant le crétacé supérieur.|It lived in Canada during the Late Cretaceous.|empty
Premye non yo te ba lse te Stereyosefalis .|On l'appela d'abord stereocephalus .|It was first named Stereocephalus.|empty
Men, yo te deja bay yon ensèk non sa a. #### Ki donk yo te vin chanje non an, epi yo rele l Ewoplosefalis.|Mais ce nom avait déjà été donné à un insecte, c’est pourquoi il a été remplacé par Euoplocephalus.|But that name had been given to an insect, so it was changed to Euoplocephalus.|empty
Ak bon pwotèj li gen sou kò l epi ak jan ke li te sanble ak yon baton, menm yon tiranozò, ki gen gwo dan, pa t ka kanpe devan li.|Avec son corps blindé et sa queue en forme de bâton, le tyrannosaurid massif doté de dents ne trouvait pas son équivalent.|With its well armored body and club shaped tail, the massive toothed Tyrannosaurus was no match.|empty
Do li te plen pikan ki fèt an zo. #### Ki fè, si yon tiranozò ta eseyemòde li, tiranozò a t ap pèdi dan li.|Son dos était recouvert de pointes osseuses à tel point que si un tyrannosaure essayait de les mordre, il se serait probablement cassé les dents.|Its back was covered with bony spikes so if a Tyrannosaurus tried to bite it, it would probably break its teeth.|empty
Ewoplosefalis se te youn nan pi gwo espès ankilozò ki te genyen.|L'euoplocephalus était l'une des plus grandes espèces des ankylosaures.|The Euoplocephalus was one of the largest species of the Ankylosaurs.|empty
Tiranozò-rèks|Le Tyrannosaure-rex|Tyrannosaurus Rex|empty
Sa gen 75-76 milyon ane|A vécu il y a 75 à 76 millions d’années|Lived 75-76 Million Years Ago|empty
Otè ak ilistratè : Oscar|par Oscar|by Oscar|empty
Tiranozò-rèks, se te dinozò ki pi gwo a.|Le tyrannosaure-rex était le plus grand des dinosaures.|The Tyrannosaurus rex was the biggest of the dinosaurs.|empty
T-rèks te bipedal. #### Sa vle di li te mache sou de (2) pye l.|Le t-rex était bipède, ce qui signifie qu'il marchait sur 2 jambes.|The T-rex was bipedal meaning it walked on 2 legs.|empty
Li te gen yon gwo papa tèt.|Il avait une tête géante.|It had a giant head.|empty
Li te gen ti bra, e sa se yon bagay syantis yo pa ka fin konprann nèt jouk jounen jodi a.|Il avait aussi des bras minuscules qui encore aujourd'hui sont une énigme pour les scientifiques.|It also had tiny arms that still today puzzle scientists.|empty
T-rèks la te mezire 12 m nan longè, ki apeprè longè ak gwosè yon gwo batiman a vwal.|Le t-rex mesurait 12 mètres, environ la taille d'un grand voilier.|The T-rex was 40 feet long about the size of a large sailboat.|empty
Li te rete oz Etazini ak o Kanada.|Il a vécu aux États-Unis et au Canada.|It lived in the USA and Canada.|empty
Pou yon rezon oubyen yon lòt, tiranozò-rèks lan pa t ka moulen manje.|Pour on ne sait quelle raison, le tyrannosaure rex ne pouvait pas mâcher.|For some reason, the Tyrannosaurs rex couldn’t chew.|empty
Li te sèvi ak dan li yo pou li te rache vyann dinozò li touye yo.|Il utilisait ses dents pour déchirer les morceaux de viande du dinosaure qu'il avait tué.|It used its teeth to rip a chunk of meat from the dinosaur that it killed.|empty
Te gen danje nan sa.|C’était dangereux de faire cela.|There were dangers in doing that.|empty
Yon syantis te jwenn yon fosil ki montre ke yon T-rèks te mouri akoz li te trangle nan vale yon ti mòso zo.|Un fossile trouvé par un scientifique a montré qu'un t-rex est mort d'étouffement sur un petit fragment d'os.|A scientist found a fossil that showed that a T-rex died from choking on a little fragment of bone.|empty
T-rèks trè enteresan. #### Se poutèt sa mwen te chwazi fè rechèch sou li.|Le t-rex était un animal très intéressant, c'est pourquoi j'ai choisi de l’étudier.|The T-rex was very interesting that is why I chose to research it.|empty
Deyinosikis|Le Deinosuchus|Deinosuchus|empty
Sa gen 73 milyon ane|Il y a 73 millions d’années|73 Million Years Ago|empty
Otè ak ilistratè : Sam|par Sam|by Sam|empty
Nan tan kretase a pandan peryòd mezozoyik la, sa gen 73 milyon ane, se nan epòk sa a predatè ki te pi danjere a te viv.|À l'époque du crétacé de l'ère du mésozoïque, il y a 73 millions d'années, vivait l'un des animaux les plus meurtriers de son époque.|Back in the Cretaceous period of the Mesozoic era, 73 million years ago, there lived one of the deadliest animals of its time.|empty
Li te mezire 12 m nan wotè epi li te peze 8,014 kg. #### Deyinosikis te ka touye T-rèks.|Mesurant 12 mètres de haut et pesant 8,014 kilogrammes, le deinosuchus pouvait abattre un t-rex.|Standing at 39 feet long and 17,670 pounds, deinosuchus could take down a T-Rex.|empty
Non deyinosikis la vle di << kwokodil ki terib >> nan lang Grèk.|Le nom deinosuchus signifie << terrible crocodile >> en Grec.|The name deinosuchus means “terrible crocodile” in Greek.|empty
Deyinosikis t ap 97 fwa pi gwo pase yon gason tay mwayen.|Le deinosuchus est 97 fois plus grand qu'un homme moyen.|Deinosuchus is 97 times bigger than an average man.|empty
Paske je li te plase byen wo, deyinosikis te ka maske kò li an ba dlo epi pran bèt nan pyèj pou l manje yo.|Avec ses yeux figurant en haut du visage, le deinosuchus pouvait se mettre en embuscade en cachant son corps sous la surface de l'eau.|With its high set eyes, deinosuchus was able to lurk in ambush with its body hidden below water’s surface.|empty
Pye l te kout anpil, epi l te pi maladwa sou tè pase kwokodil jounen jodi a.|Il avait les jambes très courtes et était plus maladroit sur la terre que les crocodiles de notre époque.|It had very short legs and was more awkward on land than crocodiles of our day.|empty
Kò l te gen plak zo epè sou li, yon bagay ki te ba l kokenn chenn pwoteksyon.|Son corps était blindé et renforcé par d'épaisses plaques osseuses lourdes.|Its body was armored and strengthened by thick heavy bony plates.|empty
Premye fosil Deyinosikis se fosil yo te jwenn nan marekay epi nan rivyè nan Kawolin di Nò.|Des fossiles de deinosuchus ont d'abord été trouvés dans les marais et les rivières de la Caroline du Nord.|Deinosuchus fossils were first found in the swamp and rivers of North Carolina.|empty
Deyinosikis, se te predatè ki pi fewòs e ki te pi danjere nan epòk li t ap viv la.|Le deinosuchus était l'animal le plus féroce et le plus meurtrier de son époque.|Deinosuchus was the fiercest and most deadliest animal of its time.|empty
Ankilozò|L’Ankylosaure|Ankylosaurus|empty
Sa gen 68-66 milyon ane|Il y a 68 à 66 millions d’années|68-66 Million Years Ago|empty
Otè ak ilistratè : Max|par Max|by Max|empty
Ankilozò te viv nan dènye pati epòk kretase a.|L'ankylosaure a vécu à la fin du crétacé.|The Ankylosaurus lived in the late Cretaceous period.|empty
Yo te dekouvri yo an Albèta nan peyi Kanada epi nan Montana.|Il a été découvert en Alberta, au Canada, et au Montana, aux États-Unis.|They were discovered in Alberta, in Canada, and Montana, in the U.S.|empty
Dabitid, ankilozò te mezire 6 m nan longè epi 1,80 m nan wotè.|Les ankylosaures mesuraient généralement 6 mètres de long et 1,80 mètre de haut.|Ankylosaurs were usually 20 feet long and 6 feet high.|empty
Yo te fèt pou yo te ba epi pou yo te laj. #### Yo te gen gwo koki sou yo. #### Kon sa, predatè pa t ka fè yo anyen lè yo mòde yo.|Ils étaient bâtis pour être courts et larges avec une carapace extrêmement dure pour que les prédateurs ne puissent les percer d’une morsure.|They were built to be short and wide with an extremely hard shell so predators couldn’t land a hit on them by biting.|empty
Rezon ki te fè koki yo ak pikan yo te di epi yo te kòryas anpil se paske koki yo te fè yon sèl ak po yo. #### Kon sa, pa gen prèske anyen ki te ka antre nan kò yo fasil.|Leurs carapaces et leurs pointes étaient extrêmement rugueuses et dures parque les os étaient soudés avec la peau pour la rendre presque impénétrable.|The reason why their shell and spikes were extremely rough and strong was because its bones fused with its skin to make it almost impenetrable.|empty
Ankilozò se bèt yo konpare ak otobis epi tank pou jan yo te gwo e pou jan plak sou kò yo te blende.|Les ankylosaures sont comparés aux bus et aux tanks car ils étaient grands et blindés.|Ankylosaurus are compared to busses and tanks because of how armored and big they were.|empty
Kèk nan yo te gen yon gwo manman zo di nan pwent ke yo.|Certains avaient une roche osseuse géante au bout de leur queue.|Some has a giant rough bone rock on the end of their tail.|empty
Yo sèvi ak pati sa a nan kò yo pou yo fè konpetisyon ak lòt mal epi pou yo atire femèl.|Ils utilisaient cela pour rivaliser principalement avec les mâles et attirer les prétendantes.|They used this to mainly compete with males and attract mates.|empty
Ankilozò te fèt yon jan pou yo te gen anpil fòs, tankou anpil èbivò, pou yo ka defann tèt yo kont predatè.|Les ankylosaures sont très bien bâtis, comme la plupart des herbivores, pour se défendre contre les prédateurs.|Ankylosaurs were built to be very strong like most herbivores to defend themselves against predators.|empty
Men, yo merite plis atansyon kòm zwazo ki t ap viv pami kèk nan dinozò sa yo ki pi enteresan.|Mais c’est vraiment plus qu'un oiseau qui a vécu avec les dinosaures les plus intéressants.|But it's really more of a bird that lived with some of the most interesting dinosaurs.|empty
Disparisyon an mas K-Pg a|L’Extinction de K-Pg|K-Pg Mass Extinction|empty
Ote : Isaac|par Isaac|by Isaac|empty
Swasann senk milyon ane de sa, te gen yon kokenn chenn disparisyon an mas. #### Sa te fè tout dinozò yo disparèt ansanm ak 35% èt vivan ki te sou latè.|Il y a soixante-cinq millions d'années, il y a eu une énorme extinction massive qui a fait disparaître les dinosaures et 35% de toute vie sur terre.|Sixty-five million years ago, there was a huge mass extinction. #### It made the dinosaurs go extinct, along with 35% of all the life on earth.|empty
Yo te rele disparisyon sa a disparisyon an mas K-Pg a.|Cette extinction a été appelée l'extinction de masse de K-Pg .|This extinction was called the K-Pg mass extinction.|empty
Gen anpil teyori sou ki sa ki te lakòz sa. #### Men tou, gen anpil evidans ki vle montre se yon astewoyid ki te frape latè.|Il y a de nombreuses de théories expliquant ce qui a pu la provoquer, mais il y a beaucoup de preuves attestant la théorie d'un astéroïde ayant frappé la terre.|There are many theories about what caused it, but there is a lot of evidence pointing to the theory of an asteroid hitting the earth.|empty
Yo te vin dekouvri prezans yon kouch wòch ki ra e ki rele iridyòm, epi laj wòch sa a koresponn ak dat disparisyon K-Pg a.|La couche d'une roche rare appelée iridium a été trouvée et datée de même âge que cette extinction.|A layer of a rare rock called iridium has been found and been dated to the same time as the extinction.|empty
Gen yon pakèt iridyòm nan kouch wòch sa a. Si tèlman gen iridyòm, yo panse se nan yon komèt oubyen yon astewoyid pou l ta soti paske se komèt ak astewoyid ki gen anpil iridyòm ladan. #### Kwout ki kouvri tè a pa gen sa twòp.|Il y a une tonne d'iridium dans cette couche, un poids tel indiquant qu'elle ne pouvait venir que d'une comète ou d'un astéroïde parce que les comètes et les astéroïdes ont beaucoup d'iridium et que la croûte terrestre n'en a pas beaucoup.|There is a ton of iridium in that layer, so much that it could only have come from a comet or asteroid because comets and asteroids have a lot of iridium and the earth’s crust doesn’t have much.|empty
Pèsonn pa t kwè Luis ak Walter Alvarez, de (2) syantis sa yo ki te anonse ipotèz sa a.|Personne n’a cru les deux scientifiques, Luis et Walter Alvarez, qui ont annoncé cette hypothèse.|Nobody believed Luis and Walter Alvarez, two scientists, when they pointed this out.|empty
Men, te gen restan yon kratè yo te jwenn yon ti distans nan nò prèskil Yikatan o Meksik.|Pourtant, les restes d'un cratère ont été trouvés juste au nord de la péninsule de Yucatan au Mexique.|But then remnants of a crater were found just north of the Yucatan peninsula in Mexico.|empty
Kratè a te fòme prèske menm lè dinozò yo te vin disparèt.|On a estimé que la formation de ce cratère a été concomitante à la disparition des dinosaures.|The crater has been dated to having been formed extremely close in time to when the dinosaurs went extinct.|empty
Yo rele kratè a Chicxulub.|Ce cratère est appelé le cratère de Chicxulub.|This crater is called the Chicxulub crater.|empty
Gen lòt prèv ankò ki montre te gen yon astewoyid ki te frape latè. #### Epi se kon sa teyori sa a vin pran pye.|Il y a aussi eu d'autres preuves mettant en évidence l’impact d'un astéroïde. #### C'est donc la théorie la plus courante.|There has also been some other evidence that points to an asteroid impact, so now this is the most common theory.|empty
Fason astewoyid la te efase tout dinozò yo sou latè nèt, olye pou se ta o Meksik sèlman, se paske astewoyid la te esploze epi iridyòm ki te ladan e ki te nan wòch kratè a te fè viwonn latè a pandan lontan.|L'astéroïde ayant provoqué l’éradication des dinosaures partout dans le monde, et pas seulement au Mexique, a dû exploser de telle sorte que l'iridium de l'astéroïde et des roches du cratère ont circulé autour de la terre pendant longtemps.|The way that the asteroid wiped out dinosaurs all over the world instead of just in Mexico was that the asteroid exploded and iridium from it and rocks from the crater surrounded the earth for a long time.|empty
Iridyòm nan te bloke reyon solèy ki t ap antre sou latè. #### Sa te touye plant yo paske yo pa t ka fè fotosentèz.|L'iridium bloquait la lumière du soleil, tuant les plantes parce qu'elles ne pouvaient plus faire de photosynthèse.|The iridium blocked out the sunlight, killing plants because they couldn’t photosynthesize.|empty
Bèt yo te vin mouri paske èbivò yo pa t ka jwenn plant pou yo manje — paske plant yo te mouri. #### Epi kanivò yo te vin mouri kòm yo pa t ka jwenn èbivò pou yo manje — paske èbivò yo te vin mouri tou.|Les animaux sont morts parce que les herbivores n'obtenaient plus les nutriments nécessaires (parce que les plantes étaient mortes), et les carnivores n'obtenaient plus les nutriments nécessaires (parce que les herbivores étaient morts).|The animals died because the herbivores didn’t get the nutrients they needed from the dead plants, and carnivores didn’t get the nutrients they needed from the dead herbivores.|empty
Aprè sa, iridyòm lan te retounen nan atmosfè a epi li te tounen yon pakèt boul dife ki te bouyi chofe latè jiskaske tanperati a te ka bouyi dlo.|Puis l'iridium est revenu dans l'atmosphère et s'est transformé en tonnes de boules de feu incandescentes qui ont chauffé la terre à des températures d'ébullition.|Then the iridium came back into the atmosphere and turned into tons of glowing fireballs which heated the earth to boiling temperatures.|empty
Te gen yon pakèt lapli asidik apre astewoyid la te fin frape latè.|Il y avait aussi beaucoup de pluies acides après l'impact de l'astéroïde.|There was also a lot of acid rain after the asteroid hit.|empty
Ti mamifè yo te ka kache nan twou, epi lè yo te soti deyò, dinozò ki te konn touye yo te deja disparèt. #### Se kon sa epòk mamifè a vin kòmanse !|Des petits mammifères avaient pu se cacher dans des tanières, et quand ils en sont sortis, les dinosaures, qui jadis les tuaient, étaient déjà éteints, et c’est alors que l'âge des mammifères a pu commencer !|Tiny mammals could hide in dens, and when they came out of their dens, the dinosaurs that had previously killed them were gone, and the age of mammals began!|empty
Djab la ak kabrit yo|Le troll et les chèvres|The Troll and the Goats|empty
Twa (3) kabrit t ap mache pou travèse yon pon pou y al chache manje.|Trois chèvres se dirigeaient vers un pont pour aller chercher de la nourriture.|Three goats were walking to the bridge to get some food.|empty
Yo pa t konnen te gen yon djab an ba pon an.|Elles ne savaient pas qu'il y avait un troll sous le pont.|They didn't know there was a troll under the bridge.|empty
Djab la tande premye kabrit la k ap travèse pon an, klik klak, klik klak.|Le troll entendit la première chèvre traverser le pont, clic clac, clic clac.|The troll heard the first goat crossing the bridge, click clack, click clack.|empty
Djab la mande : « Kiyès k ap pase sou pon mwen an kon sa ? »|« Qui passe sur mon pont ? » demanda le troll.|"Who’s that tripping across my bridge?" said the troll.|empty
Kabrit la reponn : « Se mwen menm, kabrit ki pi piti a. »|« C’est moi, la plus petite chèvre » répondit-elle.|“It is I, the littlest goat,” she answered.|empty
Kabrit ki pi piti a di : « Pa manje m. Tann pi gwo kabrit la pito. »|« Ne me mange pas, attend que passe la plus grande chèvre » a dit la plus petite chèvre.|"Don't eat me, wait for the bigger goat," said the littlest goat.|empty
Apre sa, dezyèm kabrit la vin ap pase sou pon an, klik klak, klik klak.|Puis la deuxième chèvre s’est mise à traverser le pont, clic clac, clic clac.|Then the second goat came to cross the bridge, click clack, click clack.|empty
Djab la tande dezyèm kabrit la k ap pase sou pon an, li mande : « Kiyès k ap pase sou pon mwen an kon sa ? »|Le troll entendit la seconde chèvre traverser le pont et dit : « Qui passe sur mon pont ? »|The troll heard the second goat crossing the bridge and said, "Who's that tripping across my bridge?"|empty
Kabrit la reponn : « Se mwen menm, kabrit gwosè mwayen an. »|« C’est moi, la chèvre de taille moyenne » répondit-elle.|"It is I, the middle-sized goat," she answered.|empty
Kabrit gwosè mwayen an di : « Pa manje m. Tann pi gwo kabrit la pito. »|« Ne me mange pas, attend que passe la grande chèvre » dit la chèvre de taille moyenne.|"Don't eat me, wait for the biggest goat," said the middle-sized goat.|empty
Apre sa, twazyèm kabrit la vin pou pase sou pon an, klik klak, klik klak.|La troisième chèvre s’avança pour traverser le pont, clic clac, clic clac.|Then the third goat came to cross the bridge, click clack, click clack.|empty
Djab la tande twazyèm kabrit la k ap pase sou pon an, li mande : « Kiyès k ap pase sou pon mwen an kon sa ? »|Le troll entendit passer la troisième chèvre et dit : « Qui passe sur mon pont ? »|The troll heard the third goat crossing the bridge and said, "Who's that tripping across my bridge?"|empty
Kabrit la reponn : « Se mwen menm, pi gwo kabrit la. »|« C’est moi, la grande chèvre » répondit-elle.|"It is I, the biggest goat," she answered.|empty
Djab la di : « M pral vale w yon grenn kou ! »|Le troll lui dit alors : « Je vais t’avaler toute crue ! »|Then the troll said, "I'm going to gobble you up!"|empty
Twazyèm kabrit la di : « Mwen gen kòn ak zago ki djanm. Monte vin jwenn mwen non. »|« J’ai des cornes et des sabots durs, dit la troisième chèvre. Monte donc. »|"I have hard hoofs and horns," said the third goat, "come on up."|empty
Gwo kabrit la bay djab la yon kout kòn voye l jete nan dlo a.|La grande chèvre donna un coup de cornes au troll qui l’envoya dans l’eau.|The biggest goat butted the troll into the water.|empty
Apre sa, li travèse pon an tou.|Après elle traversa le pont elle aussi.|Then she crossed the bridge too.|empty
Twa (3) kabrit yo tèlman manje, yo pa t ka mache retounen lakay yo.|Les trois chèvres ont tellement mangé qu’elles ne pouvaient pas marcher pour rentrer chez elles.|The three goats ate so much food that they couldn't walk back home.|empty
Epi yo viv ak kè kontan pou tout tan k gen tan.|Et elles ont tous vécu heureuses pour toujours.|And they all lived happily ever after.|empty
Dofen nen boutèy|Le dauphin à nez en bouteille|Bottle Nose Dolphin|empty
Dofen nen boutèy se yon espès ki piti pami setase yo (sa vle di gwo gwo bèt lanmè yo).|Le dauphin à nez en bouteille est une petite espèce de cétacé.|The bottlenose dolphin is a small kind of cetacean.|empty
Li ka grandi rive 8 jouska 12 pye nan longè (2,50-3,6 mèt).|Il peut atteindre entre 8 et 12 pieds (de 2,50 à 3,6 mètres).|It can grow from 8 to 12 feet (2.50-3.6 meters) in length.|empty
An jeneral, li gen koulè ble fonse oswa gri fonse.|Généralement, sa couleur est bleu foncé ou gris foncé.|It is usually dark blue to dark gray.|empty
"Li gen yon bèk kout, pwès ; se pou sa li gen non « nen boutèy »."|"Son bec est gros et court ; c'est pourquoi on l’appelle « Dauphin à nez en bouteille »."|It has a short, stubby beak and that was how it got the name “Bottlenose.”|empty
Li gen yon najwa sou do l ki koube. #### Nou ka wè najwa sa a lè dofen an monte sou dlo pou l ekspire.|Il a une nageoire dorsale courbée qu’on peut voir lorsqu’il monte à la surface pour expirer.|It has a curved dorsal fin that you can see when it comes up to blow.|empty
Dofen nen boutèy gen yon sèl twou nen pou l respire ki devan najwa ki sou do li a.|Les dauphins à nez en bouteille ont une seule narine ou un évent qui se trouve devant la nageoire dorsale.|The bottlenose dolphin has only one blowhole that is located in front of its dorsal fin.|empty
Dofen nen boutèy se bèt ki sosyab anpil.|Les dauphins à nez en bouteille sont très sociables.|Bottlenose dolphins are very social.|empty
Yo viv ansanm nan gwoup ki konn gen douz (12) dofen ladan l.|Ils vivent en troupes de 12.|They live in pods of twelve.|empty
Kèk fwa, yo met ansanm ak lòt dofen pou fè yon gwoup ki gen san (100) bèt !|Parfois, ils se groupent ensemble pour créer des troupes d'une centaine de dauphins !|Sometimes they form groups with others to make a pod of one hundred!|empty
Lè dofen yo jèn, yo jwe souvan youn ak lòt. #### Men, se ak dan yo yo jwe. #### Se poutèt sa nòmalman yo plen mak sou kò yo.|Les jeunes dauphins jouent souvent entre eux en se mordillant, c'est pourquoi ils ont souvent des écorchures sur leurs corps.|When dolphins are young, they often play with each other, but they play using their teeth, which is why they usually have scratches on their bodies.|empty
Lè dofen mal yo gen diz (10) an, yo pare pou yo kouple ak femèl. #### Men, femèl yo pare pou sa depi yo gen senk (5) an.|Les males sont prêts à s'accoupler à l'âge de dix ans, mais les femelles sont prêtes à cinq ans.|Males are ready to mate at ten years old, while females are ready at five years old.|empty
Dofen nen boutèy tèlman sosyab, youn jwe ak lòt depi yo gen enn (1) an!|Les dauphins à nez en bouteille sont si sociables qu'ils jouent entre eux à partir d'un an !|Bottlenose dolphins are so social that they play with each other from when they are one year old!|empty
Dofen nen boutèy diferan ak pi fò lòt dofen paske yo ka plonje nan dlo rive yon pwofondè ki plis pase 1000 pye (304,8 mèt).|Le dauphin à nez en bouteille est différent des autres dauphins parce qu'il peut plonger à plus de 1000 pieds (304,8 mètres) de profondeur.|The bottlenose dolphin is different from most dolphins because it can dive down more than 1,000 feet (304.8 meters).|empty
