text,text_preprocessed,LEN
Azwel singa maita pofaam az suolohis wid akompniment frah piano (laka ina aat sing) ah ina soh [[jaz]] stail) ar wid simfani aakeschra ar big ban.,Azwel singa maita pofaam az suolohis wid akompniment frah piano ah ina soh jaz stail ar wid simfani aakeschra ar big ban,22
"A wah iip a difrah-difrah singin stail, ingkluudn aat myuuzik stail laka [[apra]] ah Chaini apra, rilijos myuuzik stail laka Gaspl, chradishanal myuuzik stail, wol myuuzik, jaz, bluuz ah papila myuuzik stail laka pap ah rak.",A wah iip a difrahdifrah singin stail ingkluudn aat myuuzik stail laka apra ah Chaini apra rilijos myuuzik stail laka Gaspl chradishanal myuuzik stail wol myuuzik jaz bluuz ah papila myuuzik stail laka pap ah rak,36
Latvia a wah konchri ina [[Yuurop]].,Latvia a wah konchri ina Yuurop,6
Juurin im ruul im a wehn wan a di muos skieri enimi ina di Westan an Iiistan Ruoman Empaiya: Im invied di Baalkan tuu taim an maach chuu Gaul (Madorn [[Frans]]) az faar az Orleans bifuo im get biit op an luuz a di bakl a Chalons.,Juurin im ruul im a wehn wan a di muos skieri enimi ina di Westan an Iiistan Ruoman Empaiya Im invied di Baalkan tuu taim an maach chuu Gaul az faar az Orleans bifuo im get biit op an luuz a di bakl a Chalons,45
"Frah 8-14 Septemba, Orikien Aivan muuv chuu di [[Kiaribiyan Sii]], ah afek di wuola di Grieta Antiliiz.",Frah Septemba Orikien Aivan muuv chuu di Kiaribiyan_Sii ah afek di wuola di Grieta Antiliiz,15
"Di [[Kiaspian Sii]] a di laajis ingkluoz inlan badi a waata pah [[Oert]] bai ieria, vieriosli klaas az di wol laajis liek ar wah ful-flej sii.",Di Kiaspian_Sii a di laajis ingkluoz inlan badi a waata pah Oert bai ieria vieriosli klaas az di wol laajis liek ar wah fulflej sii,25
"Alduo wiet ah mas a sayantifikali distingk kuantiti, di toermdem noftaim kanfyuuz wid deh wananeda ina hebridie yuus (dat a, kompier ah kanvoert fuos wiet ina pong tu mas ina [[kilogram]] ah vaisa-voersa).",Alduo wiet ah mas a sayantifikali distingk kuantiti di toermdem noftaim kanfyuuz wid deh wananeda ina hebridie yuus,18
"Mao liid di Kamiunis Paati a Chaina (CPC) tu vikchri gens di Kuomintang (KMT) ina di Chaini Sibl Waar, ah wena di liida fi di [[Piiplz Ripoblik a Chaina]] (PRC) fran iextablish ina 1949 tel ih ded ina 1976.",Mao liid di Kamiunis Paati a Chaina tu vikchri gens di Kuomintang ina di Chaini Sibl Waar ah wena di liida fi di Piiplz_Ripoblik_a_Chaina fran iextablish ina tel ih ded ina,31
Iran a wah savrin konchri a [[Ieja]].,Iran a wah savrin konchri a Ieja,7
Bogota a di kiapital fi [[Kolombia]].,Bogota a di kiapital fi Kolombia,6
"Cabrejas del Campo a wahn miunisipaliti luokiet ina di [[pravins a Soria]], [[Kiastiil ahn León]], [[Spien]].",Cabrejas del Campo a wahn miunisipaliti luokiet ina di pravins_a_Soria Kiastiil ahn León Spien,14
Aljiiria a wahn konchri ina [[Afrika]].,Aljiiria a wahn konchri ina Afrika,6
Kuk wehna di fos fi map Niuufonlan bifuo ihn mek ihn chrii vaayj dem tu di [[Pasifik Uoshan]] wen taim ihn mek di fos Yuuropian kantak wid di iistan kuoslain a Aaschrielia ahn di Awayian Ailant dem alzwel az di fos rikaad sorcomnavigieshan a Niuu Ziilan.,Kuk wehna di fos fi map Niuufonlan bifuo ihn mek ihn chrii vaayj dem tu di Pasifik_Uoshan wen taim ihn mek di fos Yuuropian kantak wid di iistan kuoslain a Aaschrielia ahn di Awayian Ailant dem alzwel az di fos rikaad sorcomnavigieshan a Niuu Ziilan,45
Kanstityuushan a wah set a fondamental prinsipl ar extablish prisident askaadn tu we a [[stiet]] ar ada aaganizieshan goban.,Kanstityuushan a wah set a fondamental prinsipl ar extablish prisident askaadn tu we a stiet ar ada aaganizieshan goban,19
"Di dinar a di koransi a [[Soerbia]], ih dates bac fi 1214.",Di dinar a di koransi a Soerbia ih dates bac fi,11
"Ina di [[Andiiz]], we di spiishiz indijinos, deh ab soh ada kluos rilietid koltivietid pitieto spiishiz.",Ina di Andiiz we di spiishiz indijinos deh ab soh ada kluos rilietid koltivietid pitieto spiishiz,16
"Pitieto eh-inchajuus outsaida di Andiiz riijan apraximetli fuo senchri ago, ah sens bikom intigral paat a nof a di wol [[fuud]] soplai.",Pitieto ehinchajuus outsaida di Andiiz riijan apraximetli fuo senchri ago ah sens bikom intigral paat a nof a di wol fuud soplai,22
"A di wol fuot-laajis fuud krap, afta [[kaan]], [[wiit]], ah [[rais]].",A di wol fuotlaajis fuud krap afta kaan wiit ah rais,11
"Cubo de la Solana a wahn miunisipaliti luokiet ina di [[pravins a Soria]], [[Kiastiil ahn León]], [[Spien]].",Cubo de la Solana a wahn miunisipaliti luokiet ina di pravins_a_Soria Kiastiil ahn León Spien,15
Saipros a wah konchri ina [[Yuurop]].,Saipros a wah konchri ina Yuurop,6
"Di kilamita, (simbal km) a di yuunit a lent ina di mechrik sistim, ikwivalent tu wan touzn [[miita]], an a di egzak distans we lait chravl ina frii spies, ina 1⁄299,792.458 a wahn [[sekan]].",Di kilamita a di yuunit a lent ina di mechrik sistim ikwivalent tu wan touzn miita an a di egzak distans we lait chravl ina frii spies ina ⁄ a wahn sekan,32
Swiidn a wah Naadik konchri ina Nadan [[Yuurop]].,Swiidn a wah Naadik konchri ina Nadan Yuurop,8
"Di papilieshan a bout 9.2 milian piipl, ah di kiapital siti niem [[Stakuom]].",Di papilieshan a bout milian piipl ah di kiapital siti niem Stakuom,12
"Edwad Siaga, wah powaful palitishan uu wuda gwaan fi ed di Jumieka Lieba Paati ah lieta ton [[Praim Minista a Jumieka]], ah Jan Pringgl, wan a di founda a di Jumiekan tuurizam indoschri, eh buot champian fi Kiapo wok.",Edwad Siaga wah powaful palitishan uu wuda gwaan fi ed di Jumieka Lieba Paati ah lieta ton Praim_Minista_a_Jumieka ah Jan Pringgl wan a di founda a di Jumiekan tuurizam indoschri eh buot champian fi Kiapo wok,36
"Dr. Veerle Poupeye, di Egzekiutiv Direkta a di Nashinal Gialari a [[Jumieka]], rait se ""Kiapo pientin ah skolpcha, az a wuol, dipik ih Zayan Rivaival laif [[wol]]"".",Dr Veerle Poupeye di Egzekiutiv Direkta a di Nashinal Gialari a Jumieka rait se Kiapo pientin ah skolpcha az a wuol dipik ih Zayan Rivaival laif wol,27
"Kiapo ingkluud az memba a di ""Intyuitiv"" aatistik muuvment; a liebl prapagiet bai di Nashinal Gialari a [[Jumieka]] fi diskraib self-taat aatis we weh priiviosli refa tu az ""Jumiekan Primitiv"".",Kiapo ingkluud az memba a di Intyuitiv aatistik muuvment a liebl prapagiet bai di Nashinal Gialari a Jumieka fi diskraib selftaat aatis we weh priiviosli refa tu az Jumiekan Primitiv,30
Ih eh awaad di Mosgriev Guol Medal tu ina 1985 bai di [[Instityuut a Jumieka]].,Ih eh awaad di Mosgriev Guol Medal tu ina bai di Instityuut_a_Jumieka,12
"Ina di kantex a yuuman sasayati, faambli ar fambili (frah [[Latn]] ""familia"" a gruup a piipl afiliet bai kansangguiniti (bai rekanaiz boert), afiniti (bai marid), ar kuo-rezidens (az implai bai di etimalaji a di [[Ingglish]] wod ""family"")  an/ar shier kansomshan (si ""noercha kinship"").",Ina di kantex a yuuman sasayati faambli ar fambili afiniti ar kuorezidens anar shier kansomshan,15
"Memba a di imidiet faambli ingkluud spouz, pierans, breda, sista, [[son]] an/ar daata.",Memba a di imidiet faambli ingkluud spouz pierans breda sista son anar daata,13
"Kuantom mikianix ingkluudn kuantom fiil tiori, a wah fondamental branch a [[fizix]] we kansoern wid pruoses we invalv, fi egzampl, atom ah fuotan.",Kuantom mikianix ingkluudn kuantom fiil tiori a wah fondamental branch a fizix we kansoern wid pruoses we invalv fi egzampl atom ah fuotan,23
"Ina di nachral saiyans dem, abaiyojenisis, ar di arijin a [[laif]], a di stodi a ou laif pan di ort kuda eva divelop outa non-livin mata.",Ina di nachral saiyans dem abaiyojenisis ar di arijin a laif a di stodi a ou laif pan di ort kuda eva divelop outa nonlivin mata,26
"Di oules fasl maikruob-laik objek dem diet bak tu 3.5 [[Ga]] (bilian ier uol), jos a fyuu onjrid milian ier yongga dan di ort.",Di oules fasl maikruoblaik objek dem diet bak tu Ga jos a fyuu onjrid milian ier yongga dan di ort,20
"Bai 2.4 [[Ga]], di riesho a stiebl aisotup fi kaaban, aiyan, ahn solfa shuo di akshan a livin tingz pahn inaagyanik minaral ahn sediment ahn di molekyula baiyomaaka dem indikiet fuotosintesis, we shuo se laif pahn ort wehn kaman bai da taim ya.",Bai Ga di riesho a stiebl aisotup fi kaaban aiyan ahn solfa shuo di akshan a livin tingz pahn inaagyanik minaral ahn sediment ahn di molekyula baiyomaaka dem indikiet fuotosintesis we shuo se laif pahn ort wehn kaman bai da taim ya,42
Nof difrent aipatisis bout orli laif [[mek]] op aredi; di muos kaman wan dem a di aiyan-solfa worl tiyori (metabolizm widout jinetiks) ahn di RNA worl aipatisis (RNA laif faam),Nof difrent aipatisis bout orli laif mek op aredi di muos kaman wan dem a di aiyansolfa worl tiyori ahn di RNA worl aipatisis,24
"Bale (IPAc-en bæleɪ, IPA-fr balɛ) a taip a pofaamans daans we arijiniet ina di Italian Renesans kuot a di 15t senchri ah lieta divelop ina kansoert daans faam ina [[Frans]] ah [[Rosha]].",Bale a taip a pofaamans daans we arijiniet ina di Italian Renesans kuot a di t senchri ah lieta divelop ina kansoert daans faam ina Frans ah Rosha,28
"""Bale"" kiah refa azwel tu wah bale daans wok, we kansis a di kuoriagrafi ah [[myuuzik]] fi bale prodokshan.",Bale kiah refa azwel tu wah bale daans wok we kansis a di kuoriagrafi ah myuuzik fi bale prodokshan,19
"Chradishanal klasikal bale yuujali pofaam wid [[klasikal myuuzik]] akompniment ah yuuz ilabret kastyuum ah stiejin, wails madan bale, laka di nioklasikal wok a Moerkan kuoriagrafa Jaaj Balanshiin (George Balanchine), muotaim pofaam ina simpl kastyuum (e.g., liotaad ah taits) ah widoutn yuuz ilabret set ar siinri.",Chradishanal klasikal bale yuujali pofaam wid klasikal_myuuzik akompniment ah yuuz ilabret kastyuum ah stiejin wails madan bale laka di nioklasikal wok a Moerkan kuoriagrafa Jaaj Balanshiin muotaim pofaam ina simpl kastyuum ah widoutn yuuz ilabret set ar siinri,38
Kianada a wah konchri ina di naadan paat a [[Naat Amoerka]].,Kianada a wah konchri ina di naadan paat a Naat_Amoerka,10
"Di laa shiep [[palitix]], [[ikanamix]], ischri ah sasayati ina vierios wie ah saab az midieta a rilieshan bitwiin piipl.",Di laa shiep palitix ikanamix ischri ah sasayati ina vierios wie ah saab az midieta a rilieshan bitwiin piipl,19
"Iapier ina 2 voers a di kiananikal Gaspl a Matiu, 24 voers a di ""h""Ax a di Apasl, 58 voers a di letadem a [[Paal di Apasl]] (inkluudn dierfuor di ""h""oerlies instans iyuuz ina rilieshan tu a Kristian badi), 2 a di Leta tu di Iibruuz, 1 a di Ipisl a Jiemz, 3 a di Toerd Ipisl a Jan, ahn 19 a di Buk a Rivilieshan.",Iapier ina voers a di kiananikal Gaspl a Matiu voers a di hAx a di Apasl voers a di letadem a Paal_di_Apasl a di Leta tu di Iibruuz a di Ipisl a Jiemz a di Toerd Ipisl a Jan ahn a di Buk a Rivilieshan,45
"Di waar a wan a di muos impuotant ivent ina Griik mitalaji ah nariet-nariet chuu nof wok a Griik lichicha, muos nuotebl chuu [[Uoma]] [[Iliad]].",Di waar a wan a di muos impuotant ivent ina Griik mitalaji ah narietnariet chuu nof wok a Griik lichicha muos nuotebl chuu Uoma Iliad,25
"Di Iliad riliet paat a di laas ier a di siij a Chrai; di [[Adisi]] diskraib di joerni bak a yaad fi Odisios, wan a di waar iiro.",Di Iliad riliet paat a di laas ier a di siij a Chrai di Adisi diskraib di joerni bak a yaad fi Odisios wan a di waar iiro,28
"Yuoga (IPAc-en joʊgə; [[Sanskrit]]—) a fizikal, mental, ah pirichual praktis ar disiplin we arijiniet ina [[India]].",Yuoga a fizikal mental ah pirichual praktis ar disiplin we arijiniet ina India,13
"A braad varayati a skuul, praktis, ah guol de ina [[Induizim]], [[Budizim]] ah [[Jainizim]].",A braad varayati a skuul praktis ah guol de ina Induizim Budizim ah Jainizim,14
"Alboert Ainstain (Albert Einstein) (14 Maach 1879 - 18 Iepril 1955) ena wah Juu, uu baan ina [[Joermani]] ah ton tiiretikal fizisis.",Alboert Ainstain ena wah Juu uu baan ina Joermani ah ton tiiretikal fizisis,13
Demya a di kanchribyuushan we [[Einstein]] [[mek]] tu Fizix: Ina ih laiftaim Einstein poblish muo dah 300 sayantifik wok an muo dah 150 nan-sayantifik wok.,Demya a di kanchribyuushan we Einstein mek tu Fizix Ina ih laiftaim Einstein poblish muo dah sayantifik wok an muo dah nansayantifik wok,23
Di konchri a paat a di Kindom a di [[Nedalanz]].,Di konchri a paat a di Kindom a di Nedalanz,10
"Imekop di sodan 40% a di Kiaribiyan ailan Sin Maatn, wail di French uobasiiz kalektiviti [[Sah Mahtah]] (French, ""Saint-Martin"") mekop di nadan 60%.",Imekop di sodan a di Kiaribiyan ailan Sin Maatn wail di French uobasiiz kalektiviti Sah_Mahtah mekop di nadan,18
"Riedio Styuujo 54 Netwok, ar Styuujo 54 Netwok, a wah [[Italian]] praivit riedio stieshan bies ina Locri, Calabria.",Riedio Styuujo Netwok ar Styuujo Netwok a wah Italian praivit riedio stieshan bies ina Locri Calabria,16
"Vizmanos a wahn miunisipaliti luokiet ina di [[pravins a Soria]], [[Kiastiil ahn León]], [[Spien]].",Vizmanos a wahn miunisipaliti luokiet ina di pravins_a_Soria Kiastiil ahn León Spien,12
"Aruuba a wah 33 kilomiita (32 mail) lang ailan ina di Lesa Antiliiz we de ina di Sodan [[Kiaribiyan Sii]], 27 km (17 mail) naat a di Paraguaná Peninsiula, Falcón Stiet, [[Venizuela]].",Aruuba a wah kilomiita lang ailan ina di Lesa Antiliiz we de ina di Sodan Kiaribiyan_Sii km naat a di Paraguaná Peninsiula Falcón Stiet Venizuela,25
Aruuba difrah frah di resa di [[Kiaribiyan]] riijan faa iab jrai klaimit; di lan jrai-jrai ah kiaktos de ebriwe.,Aruuba difrah frah di resa di Kiaribiyan riijan faa iab jrai klaimit di lan jraijrai ah kiaktos de ebriwe,19
Indoniija a wah savrin konchri a [[Ieja]].,Indoniija a wah savrin konchri a Ieja,7
Sou Paalo a di bigis siti ina [[Brazil]].,Sou Paalo a di bigis siti ina Brazil,8
"Di Ayan Iej a di piiriad we jinarali okor afta di [[Branz Iej]], maak bai di prevalent yuus a ayan.",Di Ayan Iej a di piiriad we jinarali okor afta di Branz_Iej maak bai di prevalent yuus a ayan,19
"Paaschraizieshan a di pruoses we kilaaf maikruob (mienli [[baktiiria]]) ina [[fuud]] ah jingx, laka [[milk]], juus, tin fuud, ah soch.",Paaschraizieshan a di pruoses we kilaaf maikruob ina fuud ah jingx laka milk juus tin fuud ah soch,18
"""todi a, diskuos"") a wah oert [[sayans]] wa kompraiz todi a di salid Oert, di raktuon wa mekiop, ah di pruoses ou deh chienj.",todi a diskuos a wah oert sayans wa kompraiz todi a di salid Oert di raktuon wa mekiop ah di pruoses ou deh chienj,24
"Eroduotos (Ienshent Griik: Ἡρόδοτος Hēródotos, pronongx [hɛː.ró.do.tos]) wena wah Griik istuorian uu weh-baan ina Alikaanasos ina di [[Poerjan Empaya]] (madan-die Bodrum, [[Toerki]]) ah lib ina di fif senchri bifuor Krais (c. 484–c.",Eroduotos wena wah Griik istuorian uu wehbaan ina Alikaanasos ina di Poerjan_Empaya ah lib ina di fif senchri bifuor Krais c c,22
"425 BKI), kantempareri wid [[Sakratiiz]].",BKI kantempareri wid Sakratiiz,4
Di long a di praimeri aagan a respirieshan ina yuuman ah wuoliip a ada animal ingkluudn fyuu [[fish]] ah soh siniel.,Di long a di praimeri aagan a respirieshan ina yuuman ah wuoliip a ada animal ingkluudn fyuu fish ah soh siniel,21
"Ina [[mamal]] ah muos ada voertibret, tuu long lokiet nier di bakbuon pah aida said a di [[aat]].",Ina mamal ah muos ada voertibret tuu long lokiet nier di bakbuon pah aida said a di aat,18
Juupita (simbal: ) a di fif [[planit]] frah di [[Son]] ah di laajis ina di [[Suola Sistim]].,Juupita a di fif planit frah di Son ah di laajis ina di Suola Sistim,15
"Grinieda a wah ailan nieshan we ""h""ingkluud di sodan paat a di Grenidiinz ina di soutiis [[Kiaribiyan Sii]].",Grinieda a wah ailan nieshan we hingkluud di sodan paat a di Grenidiinz ina di soutiis Kiaribiyan_Sii,17
"Grinieda de tu di naat a [[Chrinidad ah Tubiego]] ah [[Venizuela]], ah sout a [[Sin Vinsn ah di Grenidiinz]].",Grinieda de tu di naat a Chrinidad_ah_Tubiego ah Venizuela ah sout a Sin Vinsn ah di Grenidiinz,17
Di Gran Dochi a di Lagoan Ailz a wah maikronieshan bies ina di [[Yunaitid Kindom]].,Di Gran Dochi a di Lagoan Ailz a wah maikronieshan bies ina di Yunaitid_Kindom,14
"Iweh kriet ina 2005 bai skuultiicha Luuwi Raboert Aral Stiivnz (Louis Robert Harold Stephens, nuo az ""Gran Dyuuk Luuwi"", baan 1985) fi wah klaas pruojek, ah ikliem fii terichri Bafin Pan, ina Puotsmot, [[Ingglan]], alangx wid chrii biini ailan luokiet ina di pan.",Iweh kriet ina bai skuultiicha Luuwi Raboert Aral Stiivnz fi wah klaas pruojek ah ikliem fii terichri Bafin Pan ina Puotsmot Ingglan alangx wid chrii biini ailan luokiet ina di pan,31
"Ousomeba, di Gran Dochi no gat no fizikal prezans de, ah no exasaiz no aatariti uoba di ieria, ah fii aparieshan muosli limit tu di [[Intanet]].",Ousomeba di Gran Dochi no gat no fizikal prezans de ah no exasaiz no aatariti uoba di ieria ah fii aparieshan muosli limit tu di Intanet,26
"[[Ina]] di 19t senchri iweh yuuz bai luokal faama, ah ina 1912 deh toni iina poblik paak.",Ina di t senchri iweh yuuz bai luokal faama ah ina deh toni iina poblik paak,16
"[[Ina]] 1938 iweh siev frah demalishan, ah sel tu di Siti a Puotsmot.",Ina iweh siev frah demalishan ah sel tu di Siti a Puotsmot,12
"[[Jumieka]] ab nachral rizuos, praimerili baxait, ah wah aidiil klaimit kandyuusiv fi agrikolcha ah aalso tuurizim.",Jumieka ab nachral rizuos praimerili baxait ah wah aidiil klaimit kandyuusiv fi agrikolcha ah aalso tuurizim,16
"Aldehuela de Periáñez a wahn miunisipaliti luokiet ina di [[pravins a Soria]], [[Kiastiil ahn León]], [[Spien]].",Aldehuela de Periáñez a wahn miunisipaliti luokiet ina di pravins_a_Soria Kiastiil ahn León Spien,14
"Gialaxi a gravitieshanal boun sistim a [[staar]], stela remnant, intastela gias, dos, ah daak mata.",Gialaxi a gravitieshanal boun sistim a staar stela remnant intastela gias dos ah daak mata,15
"Di wod gialaxi diraiv frah di Griik galaxias (γαλαξίας), litarali ""milki"", a refrans tu di [[Milki Wie]].",Di wod gialaxi diraiv frah di Griik galaxias litarali milki a refrans tu di Milki_Wie,15
"Di Milki Wie senchral blak huol, nuo az Sajitierios A*, ab mas fuo milian taim grieta dah di [[Son]].",Di Milki Wie senchral blak huol nuo az Sajitierios A ab mas fuo milian taim grieta dah di Son,19
"Az av Maach 2016, GN-z11 a di uolis ah muos distant abzoerv gialaxi wid komuuvin distans a 32 bilian lait-ier frah Oert, ah abzoerv az ieh-egzis jos 400 milian ier afta di [[Big Bang]].",Az av Maach GNz a di uolis ah muos distant abzoerv gialaxi wid komuuvin distans a bilian laitier frah Oert ah abzoerv az iehegzis jos milian ier afta di Big_Bang,30
Ruom a di kyapital fi [[Itali]].,Ruom a di kyapital fi Itali,6
"Sumer wena di fos ienshent oerban sivilizieshan ina di istarikal riijan a sodan [[Mesopotiemia]], madan-die sodan [[Irak]], juurin di Chalkolitik ah Hoerli Branz iejdem, ah aagyuebli di fos sivilizieshan ina di wol.",Sumer wena di fos ienshent oerban sivilizieshan ina di istarikal riijan a sodan Mesopotiemia madandie sodan Irak juurin di Chalkolitik ah Hoerli Branz iejdem ah aagyuebli di fos sivilizieshan ina di wol,32
Taiz jinarali plie wid bai [[pitni]] ah pet.,Taiz jinarali plie wid bai pitni ah pet,8
"° [[Paolo Rampini]] , The Golden Book of Toycars 1900-1980 , Edizioni P.R.",° Paolo_Rampini The Golden Book of Toycars Edizioni PR,9
"""h""Animal a moltiseliula, yuukiaryuotik [[aaganizim]] a di kindom Animalia (aalso kaal Metazuowa).",hAnimal a moltiseliula yuukiaryuotik aaganizim a di kindom Animalia,9
[[Cher Lloyd]] a waah British singa.,Cher_Lloyd a waah British singa,5
"Di Suola Sistim a di [[gravitieshan]]al bain sistim we kompraiz di [[Son]] ah di habjekdem we haabiti, aida dairekli ar hindairekli.",Di Suola Sistim a di gravitieshanal bain sistim we kompraiz di Son ah di habjekdem we haabiti aida dairekli ar hindairekli,21
"Outa demde habjek we haabit di Son dairekli, di laajis iet a di [[planit]]dem, wails di rimienda a signifikantli sumaala abjek, laka dwaaf planit laka [[Pluuto]] ah sumaal Suola Sistim badi laka h[[astaraid]]dem.",Outa demde habjek we haabit di Son dairekli di laajis iet a di planitdem wails di rimienda a signifikantli sumaala abjek laka dwaaf planit laka Pluuto ah sumaal Suola Sistim badi laka hastaraiddem,33
"Outa di habjek we haabit di Son indairekli, di [[muun]]dem, tuu a dem laaja dah di sumaalis planit, Moerkiuri.",Outa di habjek we haabit di Son indairekli di muundem tuu a dem laaja dah di sumaalis planit Moerkiuri,19
"Joernalizim a di suoshal wok ah wok-kraaf, ah profeshan (ai-lebl) fi ripuot pah ivent, fax, ah piipl we a di ""[[nyuuz]] a di die,"" fi mek sasayati ""infaam,"" tu soh nan-chrivial digrii.",Joernalizim a di suoshal wok ah wokkraaf ah profeshan fi ripuot pah ivent fax ah piipl we a di nyuuz a di die fi mek sasayati infaam tu soh nanchrivial digrii,31
"Di main a di set a kagnitiv fakolti we iniebl [[kanchosnis]], posepshan, tingkin, jojment, ah membrans.",Di main a di set a kagnitiv fakolti we iniebl kanchosnis posepshan tingkin jojment ah membrans,16
"No yuunivoersali agriiment no de pah di definishan a waa main ah waa idistingguishin prapati, alduo wah lenti chradishan a ingkwairi eh-gwaan ina [[filasafi]], [[rilijan]], [[saikalaji]] ah kagnitiv sayans.",No yuunivoersali agriiment no de pah di definishan a waa main ah waa idistingguishin prapati alduo wah lenti chradishan a ingkwairi ehgwaan ina filasafi rilijan saikalaji ah kagnitiv sayans,29
"Di mien uopm kuestian rigyaadin di niecha a di main a main–badi prablem, we investigiet di rilieshan a di main tu di fizikal [[brien]] ah nervos sistim.",Di mien uopm kuestian rigyaadin di niecha a di main a mainbadi prablem we investigiet di rilieshan a di main tu di fizikal brien ah nervos sistim,27
"Tipikal vyuupaint ingkluud dualizim ah [[aidiilizim]], we kansida di main somou sepret frah fizikal egzistans, ah fizikalizim ah fongshanalizim, we huol se di main rofli aidentikal wid di brien ar rijuusibl tu fizikal finmina laka nyuuranal aktiviti.",Tipikal vyuupaint ingkluud dualizim ah aidiilizim we kansida di main somou sepret frah fizikal egzistans ah fizikalizim ah fongshanalizim we huol se di main rofli aidentikal wid di brien ar rijuusibl tu fizikal finmina laka nyuuranal aktiviti,37
"Waneda kuestian kansoern wa taip a biin kipebl fi ab main, fi egzampl weda main exklusiv tu yuuman, pozes azwel bai som ar aal [[animal]], bai aal libm tingz, ar weda main kiah aalso bi a prapati a som taip a man-mied mashiin.",Waneda kuestian kansoern wa taip a biin kipebl fi ab main fi egzampl weda main exklusiv tu yuuman pozes azwel bai som ar aal animal bai aal libm tingz ar weda main kiah aalso bi a prapati a som taip a manmied mashiin,43
"Wails paati kiah exchienj [[gud]]z ah saabis bai baata, muos maakit rilai pah sela a-aafa deh gudz ar saabis (ingkluudn lieba) ina hexchienj fi [[moni]] frah baya.",Wails paati kiah exchienj gudz ah saabis bai baata muos maakit rilai pah sela aaafa deh gudz ar saabis ina hexchienj fi moni frah baya,25
"Taroda a wahn miunisipaliti luokiet ina di [[pravins a Soria]], [[Kiastiil ahn León]], [[Spien]].",Taroda a wahn miunisipaliti luokiet ina di pravins_a_Soria Kiastiil ahn León Spien,12
"Im put faawod se di main a wehn wan “emti sliet” ar “""tabula rasa""”; dat fi se, difrent fram Kaatiizhan ar Kristiyan filasifi, Locke biliiv se piipl baan widout inbaan aidiya, an se [[nalij]] kom bout onggl chuu expiiriens we gyada fram di sens dem.",Im put faawod se di main a wehn wan “ emti sliet ” ar “ tabula rasa ” dat fi se difrent fram Kaatiizhan ar Kristiyan filasifi Locke biliiv se piipl baan widout inbaan aidiya an se nalij kom bout onggl chuu expiiriens we gyada fram di sens dem,49
"Di Muun (simbal: ) a di ""h""Oert onggl poermanent [[nachral satilait]].",Di Muun a di hOert onggl poermanent nachral_satilait,8
"A wan a di laajis nachral satilait ina do [[Suola Sistim]], ah di laajis outa di planiteri satilaitdem relitiv tu di saiz a di planit we ihaabit (fii praimri).",A wan a di laajis nachral satilait ina do Suola_Sistim ah di laajis outa di planiteri satilaitdem relitiv tu di saiz a di planit we ihaabit,26
A di sekan-densis satilait outa demde uufa densiti nuo (afta [[Juupita]] satilait Io).,A di sekandensis satilait outa demde uufa densiti nuo,9
"Di Upanishad (IAST Upaniṣad; IPA-sa ʊpən̪ɪʂəd̪) a kaleshan a tex we kantien som a di senchral filasafikal kansep a [[Induizim]], som a wa shier wid [[Budizim]] ah [[Jainizim]].",Di Upanishad a kaleshan a tex we kantien som a di senchral filasafikal kansep a Induizim som a wa shier wid Budizim ah Jainizim,24
"Di Upanishad kamanli refa tu az ""Vedanta"", vieriosli intoerprit fi miin aida di ""laas chapta, paat a di [[Veda]]"" ar ""di abjek, di ayis poerpos a di Veda"".",Di Upanishad kamanli refa tu az Vedanta vieriosli intoerprit fi miin aida di laas chapta paat a di Veda ar di abjek di ayis poerpos a di Veda,28
"Krikit a nashinal ah intanashinal spuot we plie bitwiin tuu tiim a ilebm plieya iich uu skuor ron (paint) bai ron bitwiin tuu set a [[chrii]] sumaal, udn puos kaal wikit.",Krikit a nashinal ah intanashinal spuot we plie bitwiin tuu tiim a ilebm plieya iich uu skuor ron bai ron bitwiin tuu set a chrii sumaal udn puos kaal wikit,30
"Di Ruomans languijdem (sohtaim kaal Ruomanik ar Nio-Latn languij) a di madan languijdem we ivalv frah Volga [[Latn]] bitwiin di sixt ah naint senchri ah so faam wah branch a di hItalik languijdem widin di ""h""Indo-Yuropiyan languij fambili.",Di Ruomans languijdem a di madan languijdem we ivalv frah Volga Latn bitwiin di sixt ah naint senchri ah so faam wah branch a di hItalik languijdem widin di hIndoYuropiyan languij fambili,32
"Guol a [[kimikal eliment]] wid di simbal Au (frah Latn: aurum) ah di ""h""atamik nomba 79.",Guol a kimikal_eliment wid di simbal Au ah di hatamik nomba,11
"Dmitri Iwanowitsch Mendeleev (8 Febiweri 1834 – 2 Febiweri 1907, wehna wan [[Rosha]]n kemis an inventa.",Dmitri Iwanowitsch Mendeleev Febiweri Febiweri wehna wan Roshan kemis an inventa,11
Matheus Rocha da Silva (10 junho 1981) wehna [[Brazil]] singa.,Matheus Rocha da Silva wehna Brazil singa,7
"Ousomeba, istarikal dakiument refa tu ar az di ""'rebl' oul [[obia]] uman,"" ah deh liigali grant ""Nani ah di piipl we nou rizaid wid ar ah deh ierz ... wah soertn paasl a Lan we kantien faib onjrid ieka ina di parish a Puotlan ..."".",Ousomeba istarikal dakiument refa tu ar az di rebl oul obia uman ah deh liigali grant Nani ah di piipl we nou rizaid wid ar ah deh ierz wah soertn paasl a Lan we kantien faib onjrid ieka ina di parish a Puotlan,43
