text,text_preprocessed,k10_label
"En t' oel diehs, t' yuus o' profeniti wos strorngli diskurejd, posibli dyuu tuu t' presens o' riliijin (meinly [[Kreschenitii]]), so [[Norfuk]] does nor haf mani tuhi werds.",En t oel diehs t yuus o profeniti wos strorngli diskurejd posibli dyuu tuu t presens o riliijin so Norfuk does nor haf mani tuhi werds,8_60
"Efta a' konflikt kaw'd t' Sekond Boer War, Eswotiini waa unda t' rule o' t' [[Yunitid Kingdum]] until independens waa gayn'd a' t' 6 September, 1968.",Efta a konflikt kawd t Sekond Boer War Eswotiini waa unda t rule o t Yunitid_Kingdum until independens waa gaynd a t September,8_61
"In April 2018 t' name o' t' kuntrii waa chayng'd f' Kingdum o' Swoseland ([[Inglish]]: ""Kingdom of Swaziland)"" t' Kingdum o' Eswotiini (Inglish"": Kingdom of Eswatini"").",In April t name o t kuntrii waa chayngd f Kingdum o Swoseland t Kingdum o Eswotiini,8_59
"[[A]]' o' 2018, [[Eswotiini]] haa t' 12th-lowest life ekspektansy i' t' werl, a' 58 iyas.",A o Eswotiini haa t thlowest life ekspektansy i t werl a iyas,8_59
"Kendall Nicole Jenner ([[Nowemba]] 3, 1995) es wun Merikan akter and model.",Kendall Nicole Jenner es wun Merikan akter and model,8_66
"T' beta waas released i' [[Swiidish]] an [[Inglish]] i' Mieh, 2009.",T beta waas released i Swiidish an Inglish i Mieh,8_59
"Et has been held i' [[Paris]], [[Nyuu York]], Los Angeles, Seattle, Orlando an Salem bifo, but nor i' t' Southern Hemisphere yet.",Et has been held i Paris Nyuu York Los Angeles Seattle Orlando an Salem bifo but nor i t Southern Hemisphere yet,8_62
Asya es biges o' em [[kontenent]].,Asya es biges o em kontenent,8_26
" es d' sekan manth a' d' iya, en d' laas manth a' [[sama]] i' t' Sauthern Hemisfiya an t' laas manth a' [[winta]] i' the Northern Hemisfiya.",es d sekan manth a d iya en d laas manth a sama i t Sauthern Hemisfiya an t laas manth a winta i the Northern Hemisfiya,8_63
T' channel waa kriiat'd bii Merikan juurnalist an' [[Newsmax]] CEO [[Christopher Ruddy]].,T channel waa kriiatd bii Merikan juurnalist an Newsmax CEO Christopher Ruddy,8_66
[[A]]' Mieh 2019 t' netwurk riiches around 75 million homes i' dem Yunited Staits o' [[Merika]].,A Mieh t netwurk riiches around million homes i dem Yunited Staits o Merika,8_58
"""[[The Washington Post]]"" haa deskrib'd t' netwurk a' ""landin spot f' kabl nyuus personalitiis i' niid a' nyuu home"".",The_Washington_Post haa deskribd t netwurk a landin spot f kabl nyuus personalitiis i niid a nyuu home,8_59
T' kuntrii bordas Algeria an [[Libiia]].,T kuntrii bordas Algeria an Libiia,8_59
"Azov ([[Rushan]]: ""Азов"") esa toen i' Rostov Oblast i' [[Rusha]], a' populayshun t' 81 335 (2017).",Azov esa toen i Rostov Oblast i Rusha a populayshun t,8_57
"Et bordas [[Saudi Erabia]] a' sowth, an a' west, north an eist deya esa Persidiaan Gyuulf.",Et bordas Saudi_Erabia a sowth an a west north an eist deya esa Persidiaan Gyuulf,8_20
"""De facto"", a' wata, Kataa orlsoe bordas [[Barain]] an [[Yunitid Erab Emiraiits]].",De facto a wata Kataa orlsoe bordas Barain an Yunitid Erab Emiraiits,8_58
"Deya esa nor rivehs i' Kataa, uni 5–7 big wadiis ([[Erabek]]: وَادِي‎): Wadii-Asma, Wadii-Banat, Wadii-Debayaan, Wadii-Ziab, Wadii-Girbaan, Wadii-Huvaiila an Wadii-Lusail.",Deya esa nor rivehs i Kataa uni big wadiis WadiiAsma WadiiBanat WadiiDebayaan WadiiZiab WadiiGirbaan WadiiHuvaiila an WadiiLusail,8_64
"Siins VII cenchurii Kataa wos a' teritrii o' Erabek Kalifaat, dyuurin' XIII — XIV cenchuriis, o' [[Barain]], a' t' beginiin o' XVI cenchurii, o' [[Porchugal]], aafta, o' Ottoman Empaye.",Siins VII cenchurii Kataa wos a teritrii o Erabek Kalifaat dyuurin XIII — XIV cenchuriis o Barain a t beginiin o XVI cenchurii o Porchugal aafta o Ottoman Empaye,8_65
"""De fakto"" ets a' paat o' [[Osheania]].",De fakto ets a paat o Osheania,8_59
"Proletarsk ([[Rushan]]: ""Пролетарск"") esa toen i' Rostov Oblast i' [[Rusha]].",Proletarsk esa toen i Rostov Oblast i Rusha,8_57
"Josh Duhamel ([[Nowemba]] 14, 1972) es wun Merikan akter.",Josh Duhamel es wun Merikan akter,8_66
Et es simis t' [[Hiibruu]] an [[Auramaik]].,Et es simis t Hiibruu an Auramaik,8_26
"A' [[Jaenyuweri 17]], 1945, t' USSR s' inta t' citii, en saau a' dem Nertsii s' distroii t' old citii.",A Jaenyuweri_ t USSR s inta t citii en saau a dem Nertsii s distroii t old citii,8_59
Meka esa emportan citii en [[Islem]].,Meka esa emportan citii en Islem,4_13
"Dem Folklan Ailen ([[Inglish]]: ""Falkland Islands"") esa archipelago i' t' sowth paat o' t' [[Etlantic Oshen]].",Dem Folklan Ailen esa archipelago i t sowth paat o t Etlantic_Oshen,4_7
"""De facto"", ets auesii teritrii o' t' [[Yunitid Kingdum]], butth Arjentina consaaide daa Dem Folklan Ailen esa paat o' t' Arjentin prowiins Faeland.",De facto ets auesii teritrii o t Yunitid_Kingdum butth Arjentina consaaide daa Dem Folklan Ailen esa paat o t Arjentin prowiins Faeland,4_0
"Wiktoreya esa stait i' t' sowth a' eist o' [[Ostrielya]], sowth o' Niiw Sowth Waayls an eist o' [[Sowth Ostrielya]].",Wiktoreya esa stait i t sowth a eist o Ostrielya sowth o Niiw Sowth Waayls an eist o Sowth Ostrielya,4_21
Osheania ([[Inglish]]: Oceania; [[French]]: Océanie) esa [[kontenent]] kampoziid o' vereas gruups o' Pesifik Ailens an [[Ostrielya]].,Osheania esa kontenent kampoziid o vereas gruups o Pesifik Ailens an Ostrielya,4_21
T' termin es yuus'd teda i' mani laenghwij t' dinot a' kontenent kemprising [[Ostrielya]] an ajaysent Pesifik.,T termin es yuusd teda i mani laenghwij t dinot a kontenent kemprising Ostrielya an ajaysent Pesifik,4_21
"Pigazzano esa toen i' [[Italii]], a' es 6.2 km² area.",Pigazzano esa toen i Italii a es km² area,4_5
"[[Norfuk Ailen]] reliis moestly on tuu forms a' transport: Dem sheps laen a' [[Kingston]] ulla Kaaskied piya, en pliens laen a' t' Norfuk Ailen Eyaport.",Norfuk_Ailen reliis moestly on tuu forms a transport Dem sheps laen a Kingston ulla Kaaskied piya en pliens laen a t Norfuk Ailen Eyaport,4_1
"Estonya es kut i' 15 cauntii, kaal ""maakond"" i' [[Estonyan]]:",Estonya es kut i cauntii kaal maakond i Estonyan,4_13
" (Norwaiian: ""Svalbard""; [[Rushan]]: ""Шпицберген""; Doich: ""Spitzbergen"") esa [[ailen]] north a' [[Norwaii]] en esa dapendecii a' Norwaii.",esa ailen north a Norwaii en esa dapendecii a Norwaii,4_2
Sicilii esa ailen i' [[Italii]].,Sicilii esa ailen i Italii,4_2
"T' airea o' t' kuntrii es 10,991 km² an t' [[popyulayshun]] as a' 2017 iya es 2,890,299 salan.",T airea o t kuntrii es km² an t popyulayshun as a iya es salan,4_13
Ducie Ailen esa [[ailen]] i t' [[Pesifik Oshen]].,Ducie Ailen esa ailen i t Pesifik Oshen,4_3
"Et s' silibriet'd orn Disemba 25 i' t' Werl eksept d' ortodoks kuntriis ([[Rusha]], [[Yukrayn]], [[Griis]] andem) said et s' silibriet'd orn Jaenyuweri 7.",Et s silibrietd orn Disemba i t Werl eksept d ortodoks kuntriis said et s silibrietd orn Jaenyuweri,4_13
I' es on t' [[North Ailen]].,I es on t North_Ailen,4_13
Ai Frisian Ailen esa [[ailen]] i t' North sea.,Ai Frisian Ailen esa ailen i t North sea,4_2
[[Budapest]] esa t' mien toen (an t' kapitel citii) o' Hungrii.,Budapest esa t mien toen o Hungrii,4_13
Northan Teritrii esa fedrel teritrii i' t' north o' [[Ostrielya]].,Northan Teritrii esa fedrel teritrii i t north o Ostrielya,4_21
"Northan Teritrii esa't sentril-north o' Ostrielya, eist o' West Ostrielya, north o' [[Sowth Ostrielya]], a' west o' [[Kwiinsland]].",Northan Teritrii esat sentrilnorth o Ostrielya eist o West Ostrielya north o Sowth_Ostrielya a west o Kwiinsland,4_21
Ba es a taun i' [[Fiijii]].,Ba es a taun i Fiijii,4_13
"Adradas ([[Spanish]]: ""Adradas"") esa toen i' [[Spain]], en t' prowins o' Soria, i' [[Castiil a' Liion]].",Adradas esa toen i Spain en t prowins o Soria i Castiil a Liion,4_5
"Pisonia brunoniana esa species a' flowerin trii in t' ""Bougainvillea"" family, Nyctaginaceae, that es native t' [[Nyuu Ziilan]], [[Norfuk Ailen]], [[Lord Howe Ailen]] an Hawaii.",Pisonia brunoniana esa species a flowerin trii in t Bougainvillea family Nyctaginaceae that es native t Nyuu_Ziilan Norfuk Ailen Lord Howe Ailen an Hawaii,4_4
T' kuntrii es an taedha said t' Andiis Mauntens f' [[Chili]].,T kuntrii es an taedha said t Andiis Mauntens f Chili,4_13
Kwiinsland esa stait i' t' north o' [[Ostrielya]].,Kwiinsland esa stait i t north o Ostrielya,4_21
Polis esa toen i' [[Siipris]].,Polis esa toen i Siipris,4_5
"Wikkapedya ([[Inglish]]: ""Wikipedia"") es t' frii online ensiiklopedya.",Wikkapedya es t frii online ensiiklopedya,4_13
"Ets west a' [[Norfuk Ailen]] an t' mos a' t' res a' Osheania, sowth a' [[Papua Nyuu Gini]], north a' t' Sowthern Oshen an Antarktika, an iist a' t' [[Indien Oshen]].",Ets west a Norfuk_Ailen an t mos a t res a Osheania sowth a Papua Nyuu Gini north a t Sowthern Oshen an Antarktika an iist a t Indien Oshen,4_6
"T' North Ailen ([[Inglish]]: ""North Island"", [[Maaori]]: ""Te Ika a Maui"") es wan o' tu mien ailens o' [[Nyuu Ziilan]].",T North Ailen es wan o tu mien ailens o Nyuu_Ziilan,4_7
T' ailen es a' teritrii a' [[Iista Ailen]].,T ailen es a teritrii a Iista_Ailen,4_7
"Wetls es a substens det [[ken]] bi iiten bai salan an/or kriichas, f' nyuutrients.",Wetls es a substens det ken bi iiten bai salan anor kriichas f nyuutrients,4_13
Et es spoken most i' [[Urup]].,Et es spoken most i Urup,4_13
"Judaism esa [[rilijin]], a' wan [[God]].",Judaism esa rilijin a wan God,4_13
"Ets t' uni terrestrial televisiien chann'l natiw o' t' [[Norfuk Ailen]], t' Ailen es tuu served b' satlit televisiien f' t' Ostrielyan maenlan.",Ets t uni terrestrial televisiien channl natiw o t Norfuk_Ailen t Ailen es tuu served b satlit televisiien f t Ostrielyan maenlan,4_8
"Konskowola ([[Poelish]]: ""Końskowola"", IPA: [kɔɲskɔ'vɔla]) esa toen i' [[Poeland]].",Konskowola esa toen i Poeland,4_5
"Araucaria heterophylla (synonym ""A. excelsa""; [[Inglish]]: ""Norfolk pine""), or t' Norfuk Ailen pain, esa pain trii native ti [[Norfuk Ailen]].",Araucaria heterophylla or t Norfuk Ailen pain esa pain trii native ti Norfuk_Ailen,4_7
"Ai Pesifik Oshen esa bidy o' salt wata betwiien [[Asya]], [[Ostrielya]], Antartica an [[North Merika]].",Ai Pesifik Oshen esa bidy o salt wata betwiien Asya Ostrielya Antartica an North Merika,4_21
"T' dialekts o' t' Iist Polynesian warietiis o' Dem [[Cook]] [[Ailen]] (colectivlii refirred t' as Dem [[Cook]] [[Ailen]] Māori) es: Dem Cook Ailen Māori es rilii relatid t' Tahitian an Nyuu Ziilan Māori, an deir es a degrii o' mushual intelijibilitii wit' both o' dese laenghwijs.",T dialekts o t Iist Polynesian warietiis o Dem Cook Ailen es Dem Cook Ailen Māori es rilii relatid t Tahitian an Nyuu Ziilan Māori an deir es a degrii o mushual intelijibilitii wit both o dese laenghwijs,4_9
Mitholijii es a' les riil sort a' [[rilijin]].,Mitholijii es a les riil sort a rilijin,4_13
"Yurkshier ([[Inglish]]: ""Yorkshire"") ulla jas Yurks ([[Inglish]]: Yorks) esa t' biges kauntii o' [[Yunitid Kingdum]] bin sityuuaitiid i' Northan Inglund.",Yurkshier ulla jas Yurks esa t biges kauntii o Yunitid_Kingdum bin sityuuaitiid i Northan Inglund,4_5
"Castiil a' Liion, formelii t' Komunitii o' Castiil a' Liion esa t' biges ortonamus komunitii i' [[Spain]].",Castiil a Liion formelii t Komunitii o Castiil a Liion esa t biges ortonamus komunitii i Spain,4_34
Ai Bora Bora esa [[ailen]] i t'[[Pesifik Oshen]].,Ai Bora Bora esa ailen i tPesifik Oshen,4_2
"French Poliinesya ([[French]]: ""Polynésie française""; [[Tahityan]]: ""Pōrīnetia Farāni"") esa owasiis kolektiwitii o' t' French Ripablik an t' wan owasiis kuntrii o' France.",French Poliinesya esa owasiis kolektiwitii o t French Ripablik an t wan owasiis kuntrii o France,4_5
"Ets kompoz'd a' 118 jiiografikalii dispers'd ailen an atol stretchin owa an ekspans a' mor den 2 000 kilometres (1,200 mi) i' t' Sowth [[Pesifik Oshen]].",Ets kompozd a jiiografikalii dispersd ailen an atol stretchin owa an ekspans a mor den kilometres i t Sowth Pesifik_Oshen,4_10
"French Poliinesya konsiist o' manii [[ailen]] an attol, but deir esa saam big o' dem:",French Poliinesya konsiist o manii ailen an attol but deir esa saam big o dem,4_2
T' Nyuukasel Aeyaport (Williamtaun Aeyaport) esa entanashunal aeyaport en t' citii o' [[Nyuukasel]] i' t' [[Ostrielya]]n steit o' [[Nyuu Sauth Wiels]].,T Nyuukasel Aeyaport esa entanashunal aeyaport en t citii o Nyuukasel i t Ostrielyan steit o Nyuu Sauth Wiels,4_21
"Koukeisiis ulla Koukeisiya esa an airea sityuuaitiid b'twiin t' Blek Sii an Kaspiyan Sii an' okkyuupai'd [[Rusha]], [[Jorja]], [[Eserbeyjan]] an [[Aarmanya]].",Koukeisiis ulla Koukeisiya esa an airea sityuuaitiid btwiin t Blek Sii an Kaspiyan Sii an okkyuupaid Rusha Jorja Eserbeyjan an Aarmanya,4_11
T' biges ailen i' t' world es [[Griinland]].,T biges ailen i t world es Griinland,4_2
Tasmainya esa [[ailen]] stait i' t' sowth o' [[Ostrielya]]n [[kontenent]].,Tasmainya esa ailen stait i t sowth o Ostrielyan kontenent,4_21
"Monzón ([[Spanish]]: ""Monzón"") esa toen i' Spain, en t' prowins o' Huesca, i' [[Aragon]].",Monzón esa toen i Spain en t prowins o Huesca i Aragon,4_5
T' Flag o' Eserbeyjan esa a' t' ofishol [[flag]] an symbol o' t' kuntrii o' [[Eserbeyjan]].,T Flag o Eserbeyjan esa a t ofishol flag an symbol o t kuntrii o Eserbeyjan,4_13
Koekos / Kiiling Ailen esa Ostrielyan teritrii i' t' [[Indien Oshen]].,Koekos Kiiling Ailen esa Ostrielyan teritrii i t Indien_Oshen,4_26
"Merikan Samoa esa unenkorparaytid teritrii o' dem Yunitid Staits loekaytid i' t' Sowth [[Pesifik Oshen]], sowthiist a' [[Samoa]].",Merikan Samoa esa unenkorparaytid teritrii o dem Yunitid Staits loekaytid i t Sowth Pesifik_Oshen sowthiist a Samoa,4_12
"Ardatov ([[Rushan]]: ""Ардатов""; Erzyan: ""Орданьбуе ош"") esa toen i' [[Rusha]].",Ardatov esa toen i Rusha,4_5
"Evrest ([[Inglish]]: ""Everest"") es t' biges maun i' t' Werl.",Evrest es t biges maun i t Werl,4_13
It es i' [[Nepal]].,It es i Nepal,4_13
Montagilla esa toen i' [[Chili]].,Montagilla esa toen i Chili,4_5
Levuka es a taun i' [[Fiijii]].,Levuka es a taun i Fiijii,4_13
"Deya es kurentlii a konflikt bitwiin [[Esrail]] an Palestiin, inkluudin t' konflikt owaa t' sitii o' Jerusalem.",Deya es kurentlii a konflikt bitwiin Esrail an Palestiin inkluudin t konflikt owaa t sitii o Jerusalem,4_13
Dem Bermudan Ailen esa auesii teritrii i' t' [[Etlantic Oshen]].,Dem Bermudan Ailen esa auesii teritrii i t Etlantic_Oshen,4_7
"Wata es a liquid a' t' standid ambient temperature an pressure, but et uulii co-iksists a' t' [[Erth]] wi' ets solid staiit, aes, an gaseous staiit (wata vapor ulla stiim).",Wata es a liquid a t standid ambient temperature an pressure but et uulii coiksists a t Erth wi ets solid staiit aes an gaseous staiit,4_14
"French es spoeken tuu raun t' werl en formali French kolaniis, speshali mani paats a' west [[Afreka]], Indien an Pesifik Oshen ailen, an mor.",French es spoeken tuu raun t werl en formali French kolaniis speshali mani paats a west Afreka Indien an Pesifik Oshen ailen an mor,4_15
Ai Maupiti esa [[ailen]] i' t' [[Pesifik Oshen]].,Ai Maupiti esa ailen i t Pesifik Oshen,4_3
Martinique esa [[French]] teritrii i' t' [[Etlantic Oshen]].,Martinique esa French teritrii i t Etlantic Oshen,4_7
Martinique es i' t' Karibean Sii ([[Etlantic Oshen]]).,Martinique es i t Karibean Sii,4_13
"Norfuk Ailen Aeyaport es t' wan aeyaport o' t' [[Norfuk Ailen]], an ekstaernal teritrii a' Ostrielya.",Norfuk Ailen Aeyaport es t wan aeyaport o t Norfuk_Ailen an ekstaernal teritrii a Ostrielya,4_7
"T' ailen es lokaytid i' t' [[Pesifik Oshen]] b'twiin [[Ostrielya]], [[Nyuu Ziilan]], an [[Nyuu Kaledonya]].",T ailen es lokaytid i t Pesifik_Oshen btwiin Ostrielya Nyuu Ziilan an Nyuu Kaledonya,4_31
A' Trien esa wieh a' raiil [[transport]].,A Trien esa wieh a raiil transport,4_13
"Sebuaan Wikkapedya (Sebuaan: ""Wikipedya sa Sinugboanon"") esa t' sekan biges [[Wikkapedya]], t' frii ensiiklopedya.",Sebuaan Wikkapedya esa t sekan biges Wikkapedya t frii ensiiklopedya,4_25
"Fletcha wos t' broda a' Edward an' Humphrey, b'in t' trii sullun a' Charles Kristen a' Moorland Close an' a' t' larj [[Ewanrigg Hall]] propatei i' Dearham, Cumberland, a atornii i' law [[wit]]' [[Manx]] jentrii, an' hiis maia Ann Dikson.",Fletcha wos t broda a Edward an Humphrey bin t trii sullun a Charles Kristen a Moorland Close an a t larj Ewanrigg_Hall propatei i Dearham Cumberland a atornii i law wit Manx jentrii an hiis maia Ann Dikson,4_16
"Diplazium australe es a' letl fern okkyuurrin i' eistern [[Ostrielya]], [[Nyuu Ziilan]] an [[Norfuk Ailen]].",Diplazium australe es a letl fern okkyuurrin i eistern Ostrielya Nyuu Ziilan an Norfuk Ailen,4_21
"T' [[Medl Eist]] an' Sowth Asya ar eksampels o' kuntriis wer daa es nor akseptiid, waael [[Urup]] es mor akseptiin'.",T Medl_Eist an Sowth Asya ar eksampels o kuntriis wer daa es nor akseptiid waael Urup es mor akseptiin,4_13
"Toples women ar a' promineent paat o' t' seks industrii, wich haufs posibli kontriibyuut'd a' t' biiliifs o' dem huu disagrii [[wit]] t' praktis i' t' west today.",Toples women ar a promineent paat o t seks industrii wich haufs posibli kontriibyuutd a t biiliifs o dem huu disagrii wit t praktis i t west today,4_17
Sowth Ostrielya esa stait i' t' sowth o' [[Ostrielya]].,Sowth Ostrielya esa stait i t sowth o Ostrielya,4_21
"Ratibooer ([[Poelish]]: ""Racibórz""; Doich: Ratibor) esa toen i' [[Poeland]].",Ratibooer esa toen i Poeland,4_5
"Nyuu Kaledonya ([[French]]: ""Nouvelle-Calédonie"") esa gruup a' ailen a' [[Frans]] i' t' [[Pesifik Oshen]].",Nyuu Kaledonya esa gruup a ailen a Frans i t Pesifik Oshen,4_2
"Childe Hassam ([[Oktoeba]] 17, 1859 – [[Orgas]] 27, 1935) wos wun Merikan peinta, es bin noht f' hii citii a' kostel em siin.",Childe Hassam wos wun Merikan peinta es bin noht f hii citii a kostel em siin,4_13
Henderson Ailen esa [[ailen]] i' t' [[Pesifik Oshen]].,Henderson Ailen esa ailen i t Pesifik Oshen,4_3
"W' an estimatid 8 538 689 salan i' 2013, London es t' mas popyuulos citii i' t' Yunitid Kingdum an t' sekan popyuulos citii i' [[Urup]] (afta [[Moskou]]).",W an estimatid salan i London es t mas popyuulos citii i t Yunitid Kingdum an t sekan popyuulos citii i Urup,4_13
"Medisin ([[Leten]]: ""medicina"") esa [[saiens]] an practik o' dem daiagnosis, terapii an prevensun o' disiises.",Medisin esa saiens an practik o dem daiagnosis terapii an prevensun o disiises,4_13
T' Tal' o' Eserbeyjan esa a' ofishol symbol o' t' kuntrii o' [[Eserbeyjan]].,T Tal o Eserbeyjan esa a ofishol symbol o t kuntrii o Eserbeyjan,4_13
"[[Dem Kuuk Ailen]] Maaori b' kam a ofishol laenghwij o' [[Dem Kuuk Ailen]] i' 2003, but haufs no ofishol stetus i' [[Nyuu Ziilan]], despiit t' fakt tat [[Nyuu Ziilan]] es signatorii t' t' Yunitid Nayshuns Declarayshun a' t' Riits o' Indijenus Piopels.",Dem_Kuuk_Ailen Maaori b kam a ofishol laenghwij o Dem_Kuuk_Ailen i but haufs no ofishol stetus i Nyuu Ziilan despiit t fakt tat Nyuu Ziilan es signatorii t t Yunitid Nayshuns Declarayshun a t Riits o Indijenus Piopels,4_18
"Dem dialekts o' t' Iist Polynesian warietiis o' [[Dem Kuuk Ailen]] (colectivlii refirr'd t' as [[Dem Kuuk Ailen]] Maaori) ar: Dem Cook Ailen Māori es rilii relatid t' Tahitian an Nyuu Ziilan Māori, an deir es a degrii o' mushual intelijibilitii wit' both o' dese laenghwijs.",Dem dialekts o t Iist Polynesian warietiis o Dem_Kuuk_Ailen ar Dem Cook Ailen Māori es rilii relatid t Tahitian an Nyuu Ziilan Māori an deir es a degrii o mushual intelijibilitii wit both o dese laenghwijs,4_9
"[[French]] es tal'n raun t' werl tuu, moslii i' formalii [[French]] kolaniis lik parts a' west [[Afreka]], [[Urup]], dem Indien an de Pesifik Oshen ailen, an mor.",French es taln raun t werl tuu moslii i formalii French kolaniis lik parts a west Afreka Urup dem Indien an de Pesifik Oshen ailen an mor,4_19
"Blaadi ([[Inglish]]: ""bloody"") or blaadi hel ([[Inglish]]: ""bloody hell"") es a mild norti werd yuus'd en t' [[Yunitid Kingdum]], [[Airiland]], [[Sowth Afreka]], [[Ostrielya]] an [[Nyuu Ziilan]].",Blaadi or blaadi hel es a mild norti werd yuusd en t Yunitid_Kingdum Airiland Sowth Afreka Ostrielya an Nyuu Ziilan,4_20
"Kurow ([[Poelish]]: ""Kurów"") esa toen i' Poeland.",Kurow esa toen i Poeland,4_5
Westen Ostrielya esa stait o' [[Ostrielya]].,Westen Ostrielya esa stait o Ostrielya,4_21
Hispanyola esa ailen in [[North Merika]].,Hispanyola esa ailen in North_Merika,4_2
"Almasaan ([[Spanish]]: ""Almazán"") esa toen i' [[Spain]], sityuuaitid en t' prowins o' Soria, i' [[Castiil a' Liion]].",Almasaan esa toen i Spain sityuuaitid en t prowins o Soria i Castiil a Liion,4_5
Ai Mangareva esa [[ailen]] i t' [[Pesifik Oshen]].,Ai Mangareva esa ailen i t Pesifik Oshen,4_3
"T' [[kresmes]] i' [[Rusha]], Griese, [[Serbya]] an taedha ortodoksaal kuntriis es a' Jaenyuweri 7.",T kresmes i Rusha Griese Serbya an taedha ortodoksaal kuntriis es a Jaenyuweri,4_13
"Meryta latifolia (Seemann) esan evergreen trii endemic ti [[Norfuk Ailen]], [[Ostrielya]].",Meryta latifolia esan evergreen trii endemic ti Norfuk_Ailen Ostrielya,4_21
Bochotnica ( : [b톖x톖t틛nit포sa]) esa toen i' [[Poeland]].,Bochotnica esa toen i Poeland,4_5
"Iista Ailen, (Rapa Nui i' t' loekl leanghwij) esa iistern [[Pesifik Oshen]] [[ailen]].",Iista Ailen esa iistern Pesifik_Oshen ailen,4_7
"Rapa Nui es wan riili aisolaeted ailen, 2075km iist a' [[Pitkern Ailen]] an 415km west a' [[Isla Salas y Gómez]] (unenhabited).",Rapa Nui es wan riili aisolaeted ailen km iist a Pitkern_Ailen an km west a Isla Salas y Gómez,4_7
Dem British Virgin Ailen esa British teritrii i' t' [[Etlantic Oshen]].,Dem British Virgin Ailen esa British teritrii i t Etlantic_Oshen,4_7
"Alaska ([[Rushan]]: ""Аляска""; [[Inglish]]: ""Alaska"") es t' stait i' Yunitid Staits.",Alaska es t stait i Yunitid Staits,4_13
"Shikotaan ([[Rushan]]: ""Шикотан""; Japaniis: 色丹島; from Aiinu ""Shi"" – big, ""Kotaan"" – toen) esa ailen i' [[Pesifik Oshen]] o' Archiipelago dem Kuril Ailen i' [[Rusha]].",Shikotaan esa ailen i Pesifik_Oshen o Archiipelago dem Kuril Ailen i Rusha,4_2
T' kuntrii bordas [[Endonesya]] i' t' west an es neya [[Ostrielya]] an [[Solamon Ailen]].,T kuntrii bordas Endonesya i t west an es neya Ostrielya an Solamon Ailen,4_21
"Maun Biets es t' haies point a' [[Norfuk Ailen]], an external territory a' [[Ostrielya]], at 319 metres (1,047 ft) above sii level.",Maun Biets es t haies point a Norfuk_Ailen an external territory a Ostrielya at metres above sii level,4_21
 esa repablik i' sentril [[Afreka]].,esa repablik i sentril Afreka,4_13
"Niue Entanashunal Aeyaport (IATA: IUE, ICAO: NIUE) es t' wan aeyaport a' t' alien kuntrii [[Niue]].",Niue Entanashunal Aeyaport es t wan aeyaport a t alien kuntrii Niue,4_13
"Batlshep esa ailen i' [[Alaska]], Yunitid Staits.",Batlshep esa ailen i Alaska Yunitid Staits,4_2
"Tahitii es t' biges ailen in t' Winward group o French Polynesia (an oversiis kuntrii a' the French Republic), located in t' aakipelago a' t' Society Ailens in t' sowthern [[Pesifik Oshen]].",Tahitii es t biges ailen in t Winward group o French Polynesia located in t aakipelago a t Society Ailens in t sowthern Pesifik_Oshen,4_22
"Ets t' northernmos ailen gruup i' Poliinesya, okyupayin' moos o' an arkipelago i' t' sentril [[Pesifik Oshen]].",Ets t northernmos ailen gruup i Poliinesya okyupayin moos o an arkipelago i t sentril Pesifik_Oshen,4_7
It es orlsoe spoken bai sam Doich salan i' taedha kunchriis an i' [[Namibia]] i' [[Afreka]].,It es orlsoe spoken bai sam Doich salan i taedha kunchriis an i Namibia i Afreka,4_13
T' popyulayshun o' Adamstoen esa t' entire popyulayshun o' t' teritrii o' [[Pitkern Ailen]].,T popyulayshun o Adamstoen esa t entire popyulayshun o t teritrii o Pitkern_Ailen,4_7
"Adamstoen esa t' plaes where dem [[Pitkerna]] iit, sliip, driink, an elsa esa t' plaes where dem grow fuud i' dem gardens.",Adamstoen esa t plaes where dem Pitkerna iit sliip driink an elsa esa t plaes where dem grow fuud i dem gardens,4_5
Yaan Meien esa ailen north a' [[Norwaii]] en esa dapendecii a' [[Norwaii]].,Yaan Meien esa ailen north a Norwaii en esa dapendecii a Norwaii,4_2
"A' Kuntrii esa plaes i' [[Erth]] daa haufs suuwerein statyuus, an friili managiis, ets oun business an enternel issyuues.",A Kuntrii esa plaes i Erth daa haufs suuwerein statyuus an friili managiis ets oun business an enternel issyuues,4_13
Afreka es t' sekan biges a' em kontenents (aafta [[Asya]]).,Afreka es t sekan biges a em kontenents,4_13
Nyuu Sowth Waayls esa stait i' t' eist o' [[Ostrielya]].,Nyuu Sowth Waayls esa stait i t eist o Ostrielya,4_21
"T' citii o' Bern ulla Berne () es t' ""Bundesstadt"" (federal citii, ""de facto"" [[Kapitel citii]]) a' [[Switsaland]], an, wi' (as a' Mieh 2013) a' popyulayshun a' 137 919 piopel, es t' fiifs moost popyulous citii i' Switsaland.",T citii o Bern ulla Berne es t Bundesstadt a Switsaland an wi a popyulayshun a piopel es t fiifs moost popyulous citii i Switsaland,4_23
"Andalusia, formelii t' Komunitii o' Andalusia esa ortonamus komunitii i' [[Spain]].",Andalusia formelii t Komunitii o Andalusia esa ortonamus komunitii i Spain,4_34
"Moshchena esa toen i' [[Yukrayn]], a' es 1.05 km² area.",Moshchena esa toen i Yukrayn a es km² area,4_5
Réunion Ailen esa ailen i t' [[Indien Oshen]].,Réunion Ailen esa ailen i t Indien_Oshen,4_2
